2026-03-15 11:41:06.817 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-03-15 11:41:06.818 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-03-15 11:41:06.818 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-03-15 11:41:30.934 | WARNING  | api_quotex.config:_load_config:105 - config.json not found, using default configuration
2026-03-15 11:41:30.934 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-03-15 11:41:30.934 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-03-15 11:41:31.090 | INFO     | api_quotex.config:save_config:168 - Configuration saved to config.json
2026-03-15 11:41:31.493 | WARNING  | api_quotex.login:get_ssid:379 - Cloudscraper GET /sign-in failed with status 403; switching to Playwright
2026-03-15 11:41:32.634 | INFO     | api_quotex.login:_playwright_login_and_capture:154 - Playwright: opening login page...
2026-03-15 11:42:02.651 | ERROR    | api_quotex.login:_playwright_login_and_capture:217 - Playwright login failed: Locator.click: Target page, context or browser has been closed
Call log:
  - waiting for locator("#tab-1 form[action$=\"/sign-in/\"] button[type=\"submit\"]:visible").first
    - waiting for" https://qxbroker.com/en/sign-in/" navigation to finish...
    - navigated to "https://qxbroker.com/en/trade"

2026-03-15 11:42:02.652 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] authentication: Playwright login failed: Locator.click: Target page, context or browser has been closed
Call log:
  - waiting for locator("#tab-1 form[action$=\"/sign-in/\"] button[type=\"submit\"]:visible").first
    - waiting for" https://qxbroker.com/en/sign-in/" navigation to finish...
    - navigated to "https://qxbroker.com/en/trade"

2026-03-15 11:42:03.073 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] authentication: Unable to retrieve a valid SSID via Cloudscraper or Playwright.
2026-03-15 11:43:36.515 | INFO     | api_quotex.config:_load_config:103 - Configuration loaded from config.json
2026-03-15 11:43:36.515 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-03-15 11:43:36.515 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-03-15 11:43:37.050 | WARNING  | api_quotex.login:get_ssid:379 - Cloudscraper GET /sign-in failed with status 403; switching to Playwright
2026-03-15 11:43:37.863 | INFO     | api_quotex.login:_playwright_login_and_capture:154 - Playwright: opening login page...
2026-03-15 11:43:38.758 | ERROR    | api_quotex.login:_playwright_login_and_capture:217 - Playwright login failed: name 'asyncio' is not defined
2026-03-15 11:43:38.758 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] authentication: Playwright login failed: name 'asyncio' is not defined
2026-03-15 11:43:39.073 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] authentication: Unable to retrieve a valid SSID via Cloudscraper or Playwright.
2026-03-15 11:46:14.121 | INFO     | api_quotex.config:_load_config:103 - Configuration loaded from config.json
2026-03-15 11:46:14.121 | WARNING  | api_quotex.config:_load_session:141 - session.json not found, using default session data
2026-03-15 11:46:14.121 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-03-15 11:46:14.649 | WARNING  | api_quotex.login:get_ssid:380 - Cloudscraper GET /sign-in failed with status 403; switching to Playwright
2026-03-15 11:46:15.406 | INFO     | api_quotex.login:_playwright_login_and_capture:155 - Playwright: opening login page...
2026-03-15 11:46:47.818 | INFO     | api_quotex.login:_playwright_login_and_capture:211 - Demo SSID captured via Playwright (token)
2026-03-15 11:46:47.820 | INFO     | api_quotex.config:save_session:181 - Session data saved to session.json
2026-03-15 11:46:47.820 | INFO     | api_quotex.login:_playwright_login_and_capture:215 - Playwright: session data saved successfully
2026-03-15 11:46:48.315 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:46:48.333 | WARNING  | api_quotex.websocket_client:connect:196 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-03-15 11:46:48.333 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-03-15 11:46:48.333 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:46:48.333 | WARNING  | api_quotex.login:validate_ssid:128 - SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-03-15 11:46:48.333 | ERROR    | api_quotex.monitoring:record_error:175 - [MEDIUM] authentication: SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-03-15 11:46:48.333 | ERROR    | api_quotex.login:validate_ssid:136 - SSID validation failed for all regions
2026-03-15 11:46:48.333 | INFO     | api_quotex.client:__init__:151 - Initialized Quotex client (demo=True, persistent=False) with enhanced monitoring
2026-03-15 11:46:48.333 | INFO     | api_quotex.client:connect:181 - Connecting to Quotex...
2026-03-15 11:46:48.333 | INFO     | api_quotex.client:_start_regular_connection:206 - Starting regular connection...
2026-03-15 11:46:48.333 | INFO     | api_quotex.client:_start_regular_connection:212 - Demo mode: Using demo regions: ['DEMO', 'LIVE']
2026-03-15 11:46:48.334 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: DEMO with URL: wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:46:48.334 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:46:48.335 | WARNING  | api_quotex.websocket_client:connect:196 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-03-15 11:46:48.335 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-03-15 11:46:48.335 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:46:48.335 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region DEMO: Failed to connect to any WebSocket endpoint
2026-03-15 11:46:48.335 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to DEMO: Failed to connect to any WebSocket endpoint
2026-03-15 11:46:48.336 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 1.80 seconds before next reconnect attempt
2026-03-15 11:46:50.146 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: LIVE with URL: wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:46:50.146 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:46:50.149 | WARNING  | api_quotex.websocket_client:connect:196 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-03-15 11:46:50.150 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2026-03-15 11:46:50.150 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:46:50.150 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region LIVE: Failed to connect to any WebSocket endpoint
2026-03-15 11:46:50.150 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to LIVE: Failed to connect to any WebSocket endpoint
2026-03-15 11:46:50.150 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 3.24 seconds before next reconnect attempt
2026-03-15 11:46:53.394 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any region after 2 attempts (Code: None)
2026-03-15 11:46:53.395 | ERROR    | api_quotex.client:connect:195 - Connection failed: Failed to connect to any region after 2 attempts
2026-03-15 11:46:53.395 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Connection failed: Failed to connect to any region after 2 attempts
2026-03-15 11:48:16.654 | INFO     | api_quotex.config:_load_config:103 - Configuration loaded from config.json
2026-03-15 11:48:16.672 | INFO     | api_quotex.config:_load_session:139 - Session data loaded from session.json
2026-03-15 11:48:16.672 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-03-15 11:48:16.823 | INFO     | api_quotex.login:get_ssid:285 - Checking existing saved session...
2026-03-15 11:48:16.831 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:48:17.247 | INFO     | api_quotex.websocket_client:connect:190 - Connected to LIVE region successfully
2026-03-15 11:48:17.247 | ERROR    | api_quotex.websocket_client:_send_handshake:509 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:17.247 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:17.247 | WARNING  | api_quotex.websocket_client:connect:200 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:17.247 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:17.539 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:48:17.540 | WARNING  | api_quotex.login:validate_ssid:128 - SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-03-15 11:48:17.540 | ERROR    | api_quotex.monitoring:record_error:175 - [MEDIUM] authentication: SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-03-15 11:48:17.540 | ERROR    | api_quotex.login:validate_ssid:136 - SSID validation failed for all regions
2026-03-15 11:48:17.540 | WARNING  | api_quotex.login:get_ssid:298 - Existing session is invalid or expired; removing session.json
2026-03-15 11:48:17.839 | WARNING  | api_quotex.login:get_ssid:380 - Cloudscraper GET /sign-in failed with status 403; switching to Playwright
2026-03-15 11:48:18.604 | INFO     | api_quotex.login:_playwright_login_and_capture:155 - Playwright: opening login page...
2026-03-15 11:48:51.046 | INFO     | api_quotex.login:_playwright_login_and_capture:211 - Demo SSID captured via Playwright (token)
2026-03-15 11:48:51.048 | INFO     | api_quotex.config:save_session:181 - Session data saved to session.json
2026-03-15 11:48:51.048 | INFO     | api_quotex.login:_playwright_login_and_capture:215 - Playwright: session data saved successfully
2026-03-15 11:48:51.401 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:48:51.858 | INFO     | api_quotex.websocket_client:connect:190 - Connected to LIVE region successfully
2026-03-15 11:48:51.859 | ERROR    | api_quotex.websocket_client:_send_handshake:509 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:51.859 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:51.859 | WARNING  | api_quotex.websocket_client:connect:200 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:51.859 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:52.126 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:48:52.127 | WARNING  | api_quotex.login:validate_ssid:128 - SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-03-15 11:48:52.127 | ERROR    | api_quotex.monitoring:record_error:175 - [MEDIUM] authentication: SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-03-15 11:48:52.127 | ERROR    | api_quotex.login:validate_ssid:136 - SSID validation failed for all regions
2026-03-15 11:48:52.127 | INFO     | api_quotex.client:__init__:151 - Initialized Quotex client (demo=True, persistent=False) with enhanced monitoring
2026-03-15 11:48:52.127 | INFO     | api_quotex.client:connect:181 - Connecting to Quotex...
2026-03-15 11:48:52.127 | INFO     | api_quotex.client:_start_regular_connection:206 - Starting regular connection...
2026-03-15 11:48:52.127 | INFO     | api_quotex.client:_start_regular_connection:212 - Demo mode: Using demo regions: ['DEMO', 'LIVE']
2026-03-15 11:48:52.129 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: DEMO with URL: wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:48:52.129 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:48:52.574 | INFO     | api_quotex.websocket_client:connect:190 - Connected to LIVE region successfully
2026-03-15 11:48:52.574 | ERROR    | api_quotex.websocket_client:_send_handshake:509 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:52.574 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:52.574 | WARNING  | api_quotex.websocket_client:connect:200 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:52.574 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:52.890 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:48:52.891 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region DEMO: Failed to connect to any WebSocket endpoint
2026-03-15 11:48:52.891 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to DEMO: Failed to connect to any WebSocket endpoint
2026-03-15 11:48:52.891 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 1.80 seconds before next reconnect attempt
2026-03-15 11:48:54.709 | INFO     | api_quotex.client:_start_regular_connection:235 - Trying region: LIVE with URL: wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:48:54.710 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:48:55.089 | INFO     | api_quotex.websocket_client:connect:190 - Connected to LIVE region successfully
2026-03-15 11:48:55.090 | ERROR    | api_quotex.websocket_client:_send_handshake:509 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:55.090 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:55.090 | WARNING  | api_quotex.websocket_client:connect:200 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:55.090 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:48:55.342 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:48:55.342 | WARNING  | api_quotex.client:_start_regular_connection:265 - Failed to connect to region LIVE: Failed to connect to any WebSocket endpoint
2026-03-15 11:48:55.342 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to LIVE: Failed to connect to any WebSocket endpoint
2026-03-15 11:48:55.342 | INFO     | api_quotex.client:_start_regular_connection:279 - Waiting 3.24 seconds before next reconnect attempt
2026-03-15 11:48:58.591 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any region after 2 attempts (Code: None)
2026-03-15 11:48:58.591 | ERROR    | api_quotex.client:connect:195 - Connection failed: Failed to connect to any region after 2 attempts
2026-03-15 11:48:58.591 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Connection failed: Failed to connect to any region after 2 attempts
2026-03-15 11:49:14.182 | INFO     | api_quotex.config:_load_config:103 - Configuration loaded from config.json
2026-03-15 11:49:14.202 | INFO     | api_quotex.config:_load_session:139 - Session data loaded from session.json
2026-03-15 11:49:14.202 | INFO     | api_quotex.config:__init__:78 - Config instance initialized successfully
2026-03-15 11:49:14.349 | INFO     | api_quotex.login:get_ssid:285 - Checking existing saved session...
2026-03-15 11:49:14.361 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2026-03-15 11:49:15.305 | INFO     | api_quotex.websocket_client:connect:190 - Connected to LIVE region successfully
2026-03-15 11:49:15.306 | ERROR    | api_quotex.websocket_client:_send_handshake:509 - Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:15.306 | ERROR    | api_quotex.monitoring:record_error:175 - [CRITICAL] connection: Handshake failed: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:15.306 | WARNING  | api_quotex.websocket_client:connect:200 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:15.306 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: 'ClientConnection' object has no attribute 'closed'
2026-03-15 11:49:15.660 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2026-03-15 11:49:15.661 | WARNING  | api_quotex.login:validate_ssid:128 - SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-03-15 11:49:15.661 | ERROR    | api_quotex.monitoring:record_error:175 - [MEDIUM] authentication: SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2026-03-15 11:49:15.661 | ERROR    | api_quotex.login:validate_ssid:136 - SSID validation failed for all regions
2026-03-15 11:49:15.661 | WARNING  | api_quotex.login:get_ssid:298 - Existing session is invalid or expired; removing session.json
2026-03-15 11:49:16.011 | WARNING  | api_quotex.login:get_ssid:380 - Cloudscraper GET /sign-in failed with status 403; switching to Playwright
2026-03-15 11:49:16.822 | INFO     | api_quotex.login:_playwright_login_and_capture:155 - Playwright: opening login page...
2026-03-15 11:49:48.977 | INFO     | api_quotex.login:_playwright_login_and_capture:211 - Demo SSID captured via Playwright (token)
2026-03-15 11:49:48.978 | INFO     | api_quotex.config:save_session:181 - Session data saved to session.json
2026-03-15 11:49:48.979 | INFO     | api_quotex.login:_playwright_login_and_capture:215 - Playwright: session data saved successfully
2026-03-15 11:49:49.389 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
